wvln_2,SPA_ag,SPB_ag,SPC_ag,SPD_ag,SPE_ag,SPF_ag,SPH_ag,SPI_ag,SPJ_ag,srfa_ag,,out,in
420,0.003423704,0.00249201,0.004208952,0.003180235,0.002318271,0.001585196,0.084270681,0.07913121,0.068190499,0.101846533,,0.003374889,0.077197463
421,0.003236154,0.002329753,0.004069237,0.003013491,0.002176006,0.001500565,0.082988938,0.07793287,0.067147664,0.100356804,,0.003211715,0.076023157
422,0.003037173,0.002092346,0.003874701,0.002828278,0.002060402,0.001376844,0.081629509,0.076683011,0.066068834,0.098685527,,0.003001407,0.074793785
423,0.00300821,0.002019316,0.003821016,0.002778954,0.002045217,0.00139616,0.080526914,0.075625901,0.065198788,0.097311609,,0.002949514,0.073783868
424,0.003069722,0.002061334,0.003844176,0.002792948,0.002049698,0.001484605,0.079624571,0.074715398,0.064453187,0.096212298,,0.002991744,0.072931052
425,0.002908721,0.001909064,0.003645965,0.002595341,0.001858245,0.001338965,0.078513213,0.073644737,0.063452891,0.094923253,,0.00282125,0.07187028
426,0.002496812,0.001517908,0.003208362,0.002169686,0.001474471,0.000936153,0.077113527,0.072361436,0.062158171,0.09334587,,0.002407694,0.070544378
427,0.002192915,0.00120491,0.002895998,0.001854994,0.00119811,0.000636636,0.075802247,0.071166546,0.060996003,0.091886306,,0.002097941,0.069321599
428,0.002178785,0.001140786,0.002882376,0.00182846,0.00117744,0.000623205,0.074769008,0.070209948,0.060177533,0.090757194,,0.002067315,0.068385496
429,0.002245954,0.001164386,0.002926982,0.001911451,0.00123165,0.000687014,0.073784871,0.069309463,0.05944395,0.089717211,,0.002112441,0.067512761
430,0.00220361,0.001123925,0.002831555,0.001927291,0.001196217,0.000645337,0.072670239,0.068310513,0.058576587,0.088559425,,0.00205303,0.066519113
