wvln_2,T0,T0_sd,Light,Light_sd,Dark,Dark_sd
708,-0.01,0.01,-0.01,0.01,-0.02,0.00
709,-0.02,0.01,-0.02,0.01,-0.03,0.00
710,-0.02,0.01,-0.02,0.01,-0.03,0.00
711,-0.01,0.01,-0.02,0.01,-0.02,0.00
712,0.00,0.02,-0.01,0.01,-0.02,0.00
713,0.00,0.02,-0.01,0.01,-0.02,0.00
714,-0.01,0.02,-0.02,0.01,-0.03,0.00
715,-0.01,0.02,-0.03,0.01,-0.04,0.00
716,0.00,0.03,-0.02,0.01,-0.03,0.00
717,0.00,0.04,-0.02,0.02,-0.02,0.00
718,0.01,0.04,-0.02,0.02,-0.02,0.00
719,0.02,0.04,-0.02,0.02,-0.02,0.00
720,0.03,0.04,-0.01,0.02,-0.01,0.00
721,0.05,0.05,0.00,0.02,0.00,0.00
722,0.05,0.05,0.01,0.02,0.01,0.00
723,0.05,0.06,0.01,0.02,0.01,0.00
724,0.06,0.06,0.01,0.03,0.00,0.00
725,0.07,0.07,0.01,0.03,0.01,0.00
726,0.10,0.07,0.03,0.04,0.02,0.01
727,0.12,0.08,0.05,0.04,0.04,0.01
728,0.12,0.08,0.05,0.05,0.05,0.01
729,0.11,0.09,0.03,0.05,0.04,0.01
730,0.11,0.09,0.02,0.05,0.03,0.01
731,0.14,0.09,0.03,0.05,0.04,0.01
732,0.16,0.10,0.07,0.05,0.08,0.01
